smiles,toxic,non_toxic_strict,n_labeled_endpoints,scaffold
Cc1cccc(C(=O)O)c1O,0,1,12,c1ccccc1
[S-]c1ccccc1,0,1,12,c1ccccc1
CC(C)(C)c1ccc(C=O)cc1,0,1,12,c1ccccc1
COc1ccc(N)cc1,1,0,12,c1ccccc1
CC(C)c1cccc(C(C)C)c1N,0,1,12,c1ccccc1
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,0,1,10,c1ccccc1
Nc1ccc(S(=O)(=O)O)c(N)c1,0,1,10,c1ccccc1
CCO[Si](OCC)(OCC)c1ccccc1,0,1,12,c1ccccc1
CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1,1,0,12,c1ccccc1
CC(C)OC(=O)COc1ccc(Cl)cc1Cl,0,1,12,c1ccccc1
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,0,1,12,c1ccccc1
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1,0,12,c1ccccc1
CC(Oc1cc(Cl)ccc1Cl)C(=O)O,0,1,10,c1ccccc1
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,0,1,11,c1ccccc1
CCCCOC(=O)COc1ccc(Cl)cc1Cl,0,1,12,c1ccccc1
O=C(O)COc1ccc(Cl)cc1Cl,0,1,12,c1ccccc1
O=[N+]([O-])c1cccc(Cl)c1Cl,0,1,12,c1ccccc1
O=[N+]([O-])c1ccc(Cl)cc1Cl,0,1,11,c1ccccc1
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1,0,12,c1ccccc1
CCN(CC)C(=O)SCc1ccc(Cl)cc1,0,1,11,c1ccccc1
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,0,1,11,c1ccccc1
CC(C)(C)c1cc(CCC(=O)NN)cc(C(C)(C)C)c1O,0,1,10,c1ccccc1
CCCCOCCOC(=O)c1ccccc1C(=O)OCCOCCCC,1,0,11,c1ccccc1
COC(=O)c1cc(S(N)(=O)=O)ccc1OC,0,0,2,c1ccccc1
C=CC(=O)OCC(O)COc1ccccc1,1,0,6,c1ccccc1
CN(C)C(=O)CNC(=O)Cc1ccccc1,0,1,12,c1ccccc1
C=CCOc1cc(Cl)ccc1C(=O)NCCN(CC)CC,1,0,11,c1ccccc1
O=[N+]([O-])c1ccc(Cl)c(Cl)c1Cl,1,0,10,c1ccccc1
O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,1,0,12,c1ccccc1
Oc1ccc(Cl)c(Cl)c1Cl,1,0,8,c1ccccc1
O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,0,1,10,c1ccccc1
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1,0,0,9,c1ccccc1
Oc1cc(Cl)cc(Cl)c1Cl,1,0,9,c1ccccc1
Oc1c(Cl)ccc(Cl)c1Cl,1,0,12,c1ccccc1
ClC(Cl)c1ccccc1,0,1,12,c1ccccc1
Cc1cc(C)c(O)c(C)c1,0,1,12,c1ccccc1
Cc1cc(O)ccc1O,1,0,8,c1ccccc1
O=C(Cl)OCc1ccccc1,0,1,12,c1ccccc1
C[C@](N)(Cc1ccc(O)cc1)C(=O)O,0,0,2,c1ccccc1
Cc1ccccc1O,0,1,12,c1ccccc1
CCN(CCO)c1cccc(C)c1,0,1,12,c1ccccc1
CCN(CC)c1ccccc1,0,1,12,c1ccccc1
CC(=O)CC(=O)c1ccccc1,1,0,11,c1ccccc1
O=CC=Cc1ccccc1,0,1,12,c1ccccc1
O=C/C=C/c1ccccc1,1,0,12,c1ccccc1
BrCCc1ccccc1,0,0,9,c1ccccc1
COc1cc(C)ccc1C(C)C,0,1,12,c1ccccc1
O=CCCc1ccccc1,1,0,11,c1ccccc1
CC(C)c1ccc(C(=O)N=C(N)N)cc1S(C)(=O)=O,0,1,11,c1ccccc1
CC(C)NCC(O)c1ccccc1Cl,0,1,12,c1ccccc1
CCCCOC(=O)c1ccccc1,1,0,12,c1ccccc1
Cc1c(Cl)cccc1Cl,0,1,11,c1ccccc1
CCOc1ccccc1O,0,1,12,c1ccccc1
CC(C)c1ccc(O)c(C(C)C)c1,1,0,9,c1ccccc1
CC(C)C(=O)OCCOc1ccccc1,0,1,12,c1ccccc1
Cc1ccccc1C,0,1,12,c1ccccc1
CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,0,10,c1ccccc1
CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O,1,0,7,c1ccccc1
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0,1,12,c1ccccc1
O=C(O)C[C@H](NC(=O)OCc1ccccc1)C(=O)O,1,0,12,c1ccccc1
CCOC(=O)c1ccccc1C(=O)OCC,0,1,12,c1ccccc1
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1,0,12,c1ccccc1
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,1,0,4,c1ccccc1
NC(=O)c1ccccc1N,0,1,12,c1ccccc1
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0,1,11,c1ccccc1
C[N+](C)(C)Cc1ccccc1,0,1,12,c1ccccc1
COc1cccc(C=O)c1,0,1,12,c1ccccc1
Cc1ccccc1CCl,0,1,12,c1ccccc1
CCC(C)c1cccc(C(C)CC)c1O,1,0,11,c1ccccc1
NCCc1ccc(O)cc1,1,0,12,c1ccccc1
CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,1,0,4,c1ccccc1
NCC(O)c1ccc(O)cc1,0,1,12,c1ccccc1
CCCOC(=O)c1ccc(O)cc1,1,0,9,c1ccccc1
CCCCC(CC)COC(=O)c1ccc(O)cc1,1,0,9,c1ccccc1
CC(=O)c1ccc(Cl)c(Cl)c1Cl,0,0,9,c1ccccc1
CCCCCCCOC(=O)c1ccc(O)cc1,1,0,11,c1ccccc1
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1,0,12,c1ccccc1
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,0,1,12,c1ccccc1
CCOC(=O)C=Cc1ccccc1,0,1,12,c1ccccc1
COC(=O)c1ccc(O)cc1,0,1,12,c1ccccc1
CCOC(=O)c1ccc(O)cc1,1,0,11,c1ccccc1
CCCCCCCCOc1ccc(C(=O)O)cc1,1,0,6,c1ccccc1
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1,0,11,c1ccccc1
O=C(O)CCCOc1ccc(Cl)cc1Cl,0,0,8,c1ccccc1
C=Cc1ccc(C)cc1,0,1,12,c1ccccc1
NC(=O)Nc1ccc(Cl)c(Cl)c1,1,0,9,c1ccccc1
O=C(O)c1cccc(C(F)(F)F)c1,0,1,12,c1ccccc1
COC(=O)c1ccc(OC)cc1,0,1,10,c1ccccc1
Nc1ccc(Cl)cc1[N+](=O)[O-],1,0,10,c1ccccc1
Cc1ccc(OC(=O)CC(C)C)cc1,0,1,11,c1ccccc1
CC(C)(C)OC(=O)c1ccccc1C(=O)O,0,1,11,c1ccccc1
COc1cc(/C=C/C(N)=O)cc(OC)c1OC,0,0,2,c1ccccc1
CC(C)(O)C(=O)c1ccccc1,0,1,12,c1ccccc1
Cc1cccc(C)c1,1,0,12,c1ccccc1
Cc1ccc(N)c(C)c1,1,0,12,c1ccccc1
Oc1cccc(Cl)c1,0,1,11,c1ccccc1
O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)[O-])c1,0,1,12,c1ccccc1
O=Cc1ccccc1[N+](=O)[O-],1,0,10,c1ccccc1
O=Cc1ccc([N+](=O)[O-])cc1,1,0,10,c1ccccc1
CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,0,1,11,c1ccccc1
C=CCc1ccccc1OCC(O)CNC(C)C,0,1,11,c1ccccc1
CCOc1ccc(NC(C)=O)cc1N,1,0,8,c1ccccc1
CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,0,1,12,c1ccccc1
CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,0,0,9,c1ccccc1
CCC(C)(C)c1ccc(O)cc1,1,0,12,c1ccccc1
Cc1c(N)cccc1Cl,0,1,10,c1ccccc1
Cc1ccc(Cl)cc1,0,1,12,c1ccccc1
Nc1ccc(Br)cc1,1,0,12,c1ccccc1
Cc1ccc(O)c(C)c1,0,1,12,c1ccccc1
Cc1ccc(O)cc1,1,0,12,c1ccccc1
Cc1ccc(C)cc1,0,1,12,c1ccccc1
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0,1,12,c1ccccc1
CCCCNS(=O)(=O)c1ccccc1,0,1,10,c1ccccc1
C=C(C)c1cccc(C(=C)C)c1,0,1,11,c1ccccc1
CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,0,8,c1ccccc1
CNC(=N)NC(=O)Nc1c(C)cccc1C,0,1,12,c1ccccc1
[NH3+]c1ccccc1,0,1,12,c1ccccc1
NC(=S)c1c(Cl)cccc1Cl,0,1,12,c1ccccc1
CC(C)c1ccc(S(=O)(=O)[O-])cc1,0,1,12,c1ccccc1
CCCCCCCCCCCCCCCS(=O)(=O)Oc1ccccc1,0,1,12,c1ccccc1
Cc1ccccc1Br,0,1,12,c1ccccc1
CNC(=O)Oc1cccc(C(C)C)c1,0,1,11,c1ccccc1
CCC(=O)Nc1ccc(O)cc1,0,1,12,c1ccccc1
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,0,1,12,c1ccccc1
CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,0,1,11,c1ccccc1
CCNC(=O)/C=C/c1cccc(Br)c1,0,0,8,c1ccccc1
CN(C)c1ccc(SC#N)cc1,1,0,7,c1ccccc1
Cc1cccc(OCC(O)CNC(C)(C)C)c1C,0,0,2,c1ccccc1
CC(CC=O)c1ccccc1,0,1,10,c1ccccc1
CCOC(=O)CCc1ccccc1,0,1,12,c1ccccc1
CCOC(=O)CC(=O)c1ccccc1,0,1,10,c1ccccc1
CCC(=O)OC(C)c1ccccc1,0,1,12,c1ccccc1
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1,0,12,c1ccccc1
O=C(Cl)c1c(Cl)c(Cl)c(C(=O)Cl)c(Cl)c1Cl,0,1,12,c1ccccc1
CN(N=O)c1ccccc1,0,1,12,c1ccccc1
Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1,1,0,7,c1ccccc1
CC(C)(C)NCC(O)c1ccccc1Cl,0,1,11,c1ccccc1
Cc1ccc(S(=O)(=O)O)cc1.O,0,1,11,c1ccccc1
Nc1ccc(O)c(N)c1,1,0,11,c1ccccc1
Cc1ccc(N)cc1N,1,0,11,c1ccccc1
CCCCCCCCCCCCc1ccc(O)cc1,1,0,6,c1ccccc1
OCCN(CCO)c1cccc(Cl)c1,0,1,12,c1ccccc1
COc1ccccc1NC(=O)CC(C)=O,1,0,12,c1ccccc1
CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1,0,1,10,c1ccccc1
Cc1ccc(C(C)C)c(O)c1,1,0,12,c1ccccc1
BrCCOc1ccccc1,0,1,12,c1ccccc1
COP(N)(=S)Oc1ccccc1C(=O)OC(C)C,1,0,11,c1ccccc1
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,0,1,12,c1ccccc1
CCCCCCCCCC(CC)c1ccc(S(=O)(=O)O)cc1.OCCN(CCO)CCO,0,1,11,c1ccccc1
COc1c(Cl)ccc(Cl)c1C(=O)O,0,1,12,c1ccccc1
Brc1ccc(Br)cc1,0,1,12,c1ccccc1
Cc1ccccc1OCC(=O)O,0,1,12,c1ccccc1
CCCCCC(CC)OC(=O)CCCOc1ccc(Cl)cc1Cl,0,1,12,c1ccccc1
Fc1c(F)c(F)c(Br)c(F)c1F,0,1,11,c1ccccc1
CCCCc1ccc(O)cc1,1,0,9,c1ccccc1
C/C=C(\C)C(=O)OCc1ccccc1,0,1,11,c1ccccc1
CC(=O)Oc1ccc([N+](=O)[O-])cc1CCl,1,0,10,c1ccccc1
CC(C)(C)c1ccccc1,0,1,12,c1ccccc1
CCOC(=O)COc1ccc(C)cc1,1,0,12,c1ccccc1
N#CC(O)c1ccccc1,0,1,11,c1ccccc1
O=C(NO)c1ccccc1,0,0,9,c1ccccc1
Nc1ccccc1C(=O)OCC(O)CO,0,0,1,c1ccccc1
CCOC(=O)Oc1ccc(CCNC(=O)[C@H](CCSC)NC(C)=O)cc1OC(=O)OCC,0,0,1,c1ccccc1
N#CCc1ccccc1[N+](=O)[O-],1,0,12,c1ccccc1
O=[N+]([O-])c1ccc(CCO)cc1,0,1,10,c1ccccc1
O=[N+]([O-])c1cccc(O)c1,1,0,12,c1ccccc1
O=[N+]([O-])c1ccccc1CCO,0,1,11,c1ccccc1
CCc1ccc(Br)cc1,0,1,10,c1ccccc1
O=C([O-])c1cc(C(=O)O)cc(S(=O)(=O)O)c1,0,1,11,c1ccccc1
CN(C)CCOC(=O)COc1ccc(Cl)cc1,0,1,12,c1ccccc1
N=C(N)NC(=N)NCCc1ccccc1,1,0,11,c1ccccc1
COc1cc([N+](=O)[O-])ccc1N,0,1,11,c1ccccc1
CCOC(=O)c1ccc(N(C)C)cc1,1,0,11,c1ccccc1
CC(C)C(=O)OCCc1ccccc1,0,1,12,c1ccccc1
CC(=O)OCC=Cc1ccccc1,0,1,12,c1ccccc1
CCNc1cccc(C)c1,0,1,12,c1ccccc1
CNc1ccccc1,0,1,12,c1ccccc1
COc1ccc(OC)c(OC)c1,0,1,10,c1ccccc1
COc1ccc(N)c(C)c1,0,1,11,c1ccccc1
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,1,0,9,c1ccccc1
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,0,1,12,c1ccccc1
CC(=O)c1ccc(C(C)=O)cc1,0,1,11,c1ccccc1
CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,0,1,12,c1ccccc1
O=CCc1ccccc1,1,0,11,c1ccccc1
CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,1,0,9,c1ccccc1
Cc1ccccc1S,0,1,11,c1ccccc1
CC(C)=CCOC(=O)c1ccccc1,0,1,11,c1ccccc1
COc1cc(CCC(C)=O)ccc1O,0,1,12,c1ccccc1
N[C@H](C(=O)O)c1ccc(O)cc1,0,0,2,c1ccccc1
O=C(O)c1ccc(O)c(O)c1,0,1,12,c1ccccc1
O=C(CCCl)NCc1ccccc1,0,0,2,c1ccccc1
COc1ccc(/C=C/C(=O)O)cc1,0,1,10,c1ccccc1
O=[N+]([O-])c1ccc([O-])cc1,1,0,11,c1ccccc1
O=S(=O)([O-])c1ccc(O)cc1,0,1,11,c1ccccc1
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,0,1,12,c1ccccc1
CC(=O)c1ccc(C)cc1,0,1,12,c1ccccc1
CCCCNc1ccccc1,0,1,12,c1ccccc1
FC(F)(F)c1ccc(Cl)cc1Cl,0,1,11,c1ccccc1
Cc1cc(O)c(C)c(C)c1O,0,0,1,c1ccccc1
CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,0,1,12,c1ccccc1
COc1ccccc1O,0,1,12,c1ccccc1
COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,0,0,2,c1ccccc1
O=Cc1ccccc1C=O,1,0,10,c1ccccc1
COC(=O)Nc1ccc(Cl)c(Cl)c1,1,0,11,c1ccccc1
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0,1,12,c1ccccc1
Nc1cc(Cl)c(N)c(Cl)c1,1,0,12,c1ccccc1
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1,0,12,c1ccccc1
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1,0,10,c1ccccc1
Oc1cc(Cl)c(Cl)cc1Cl,1,0,11,c1ccccc1
CCCCc1ccccc1,0,1,12,c1ccccc1
NNC(=O)OCc1ccccc1,1,0,11,c1ccccc1
CC(C)c1ccc(C#N)cc1,0,1,12,c1ccccc1
COc1cc(C)cc(O)c1,0,1,11,c1ccccc1
CCCCCCOC(=O)c1ccccc1,0,1,12,c1ccccc1
O=[N+]([O-])c1ccccc1CCl,1,0,12,c1ccccc1
O=[N+]([O-])c1ccc(CCl)cc1,0,1,11,c1ccccc1
O=C(Cl)c1ccc([N+](=O)[O-])cc1,0,1,11,c1ccccc1
O=[N+]([O-])c1cccc(CCl)c1,1,0,12,c1ccccc1
O=C(Cl)c1cccc([N+](=O)[O-])c1,0,1,12,c1ccccc1
O=C(Cl)c1ccccc1[N+](=O)[O-],0,1,11,c1ccccc1
Nc1ccc(S(=O)(=O)[O-])cc1,1,0,12,c1ccccc1
CCCCN(CCCC)C(C(N)=O)c1ccc(OC)cc1,0,0,2,c1ccccc1
CCN(CC)CC(=O)Nc1c(C)cccc1C,0,1,12,c1ccccc1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0,1,12,c1ccccc1
COc1ccccc1N,1,0,12,c1ccccc1
Nc1ccccc1,1,0,12,c1ccccc1
CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl,0,1,12,c1ccccc1
Nc1ccccc1C(=O)O,0,1,12,c1ccccc1
CCN[C@H](C)Cc1cccc(C(F)(F)F)c1,0,1,12,c1ccccc1
CN[C@H](C)Cc1ccccc1,0,0,9,c1ccccc1
CN[C@@H](C)Cc1ccccc1,0,1,10,c1ccccc1
C[C@@H](N)C(=O)c1ccccc1,0,1,10,c1ccccc1
C[C@H](N)C(=O)c1ccccc1,0,1,12,c1ccccc1
CCN[C@@H](C)Cc1ccccc1,0,1,12,c1ccccc1
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,0,1,12,c1ccccc1
CC(=O)[O][Hg][c]1ccccc1,1,0,7,c1ccccc1
NC(=O)c1ccccc1C(N)=O,0,0,9,c1ccccc1
NC(=O)c1c(Cl)cccc1Cl,0,1,10,c1ccccc1
CNC(=O)Oc1ccc(N(C)C)c(C)c1,1,0,11,c1ccccc1
CCCCCCOC(=O)c1ccc(O)cc1,1,0,10,c1ccccc1
NC[C@H](O)c1ccc(O)c(O)c1,0,1,11,c1ccccc1
CC(C)OC(=O)c1ccccc1,0,1,12,c1ccccc1
CN/C=N/c1ccc(C)cc1C,0,1,12,c1ccccc1
Fc1cccc(Cl)c1CCl,1,0,11,c1ccccc1
COc1ccc(C(=O)/C(Br)=C\C(=O)[O-])cc1,1,0,10,c1ccccc1
Cc1cc(Cl)ccc1/N=C/N(C)C,0,1,12,c1ccccc1
CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC,1,0,9,c1ccccc1
CC(C)c1ccc(O)cc1,0,1,10,c1ccccc1
Cc1cccc(N)c1N,1,0,11,c1ccccc1
O=C([O-])COc1ccc(Cl)cc1Cl,0,1,12,c1ccccc1
CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1,0,1,11,c1ccccc1
Oc1cccc(O)c1,0,1,12,c1ccccc1
CCCCCC(=O)OCCc1ccccc1,0,1,12,c1ccccc1
C=CCOc1ccccc1OCC(O)CNC(C)C,0,1,11,c1ccccc1
OCCNCc1ccccc1,0,1,12,c1ccccc1
COC(=O)Cc1ccccc1,0,1,12,c1ccccc1
CC(=O)Nc1ccccc1,0,1,12,c1ccccc1
CCNc1cc(O)ccc1C,1,0,10,c1ccccc1
COP(=S)(OC)Oc1ccc(SC)c(C)c1,1,0,12,c1ccccc1
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,0,1,12,c1ccccc1
CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,0,0,9,c1ccccc1
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,0,1,11,c1ccccc1
O=[N+]([O-])c1cc(N(CCO)CCO)ccc1NCCO,1,0,11,c1ccccc1
CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,0,0,9,c1ccccc1
CC(C=O)Cc1ccc(C(C)C)cc1,0,1,12,c1ccccc1
O=C(CCl)Nc1ccccc1,1,0,8,c1ccccc1
COc1ccc(OC)c(Cl)c1,0,1,12,c1ccccc1
Cc1cc(O)c(Cl)cc1C,0,1,11,c1ccccc1
NC(=O)c1ccc([N+](=O)[O-])cc1Cl,0,1,12,c1ccccc1
Cc1cccc(C(C)(C)C)c1O,0,1,10,c1ccccc1
CCOC(=O)C(=O)CCc1ccccc1,0,0,2,c1ccccc1
CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,0,0,2,c1ccccc1
CC(=O)c1cccc([N+](=O)[O-])c1,0,1,11,c1ccccc1
CC(=O)c1ccccc1[N+](=O)[O-],0,1,11,c1ccccc1
CC(=O)c1ccc([N+](=O)[O-])cc1,0,1,12,c1ccccc1
Nc1cccc([N+](=O)[O-])c1,0,1,12,c1ccccc1
Nc1ccccc1[N+](=O)[O-],0,1,11,c1ccccc1
C=C(C)c1ccccc1,0,1,12,c1ccccc1
O=C(Cl)c1c(Cl)cccc1Cl,0,1,12,c1ccccc1
COc1ccc(C=O)cc1OC,1,0,12,c1ccccc1
CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1,1,0,11,c1ccccc1
COCCOC(=O)c1ccccc1C(=O)OCCOC,0,1,12,c1ccccc1
COc1cc(CCN)c(OC)cc1Br,0,0,7,c1ccccc1
COc1cc(C[C@@H](C)N)c(OC)cc1Br,1,0,9,c1ccccc1
COc1cc(CCN)cc(OC)c1OC,1,0,12,c1ccccc1
CCCSc1cc(OC)c(CCN)cc1OC,1,0,5,c1ccccc1
COc1cc(C[C@H](C)N)c(OC)cc1Br,0,0,8,c1ccccc1
COc1cc(CC(C)C)cc(OC)c1OC,0,1,11,c1ccccc1
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1,0,12,c1ccccc1
CC(C)NCC(O)c1ccc(O)c(O)c1,1,0,12,c1ccccc1
Cc1cc(C)c(N)cc1C,0,1,12,c1ccccc1
CC(=O)Nc1ccccc1C,0,1,12,c1ccccc1
CC(=O)Nc1cccc(C)c1,0,1,12,c1ccccc1
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,0,1,11,c1ccccc1
CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1,0,10,c1ccccc1
CC(=O)CC(=O)Nc1ccc(S(=O)(=O)[O-])cc1,0,1,11,c1ccccc1
CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,0,1,12,c1ccccc1
CCCC(=O)OC(C)(C)Cc1ccccc1,0,1,11,c1ccccc1
CC(C)c1cc(C(C)C)cc(C(C)C)c1,0,1,12,c1ccccc1
Cc1ccc(S(=O)(=O)O)cc1,0,1,10,c1ccccc1
CCCNC(C)C(=O)Nc1ccccc1C,0,1,12,c1ccccc1
O=C([O-])CCCc1ccccc1,0,0,2,c1ccccc1
CC(C)c1ccc(S(=O)(=O)O)cc1,0,1,12,c1ccccc1
CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1,0,0,2,c1ccccc1
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1O,0,0,2,c1ccccc1
CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,0,1,12,c1ccccc1
CCCc1ccccc1O,1,0,10,c1ccccc1
CCC(=O)OCc1ccc(OC)cc1,0,1,12,c1ccccc1
CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1,0,1,12,c1ccccc1
Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,0,0,2,c1ccccc1
Cc1cccc(C(=O)O)c1,0,1,12,c1ccccc1
O=C(O)c1cccc(O)c1,0,1,12,c1ccccc1
Cc1ccc(C(=O)O)cc1,0,1,12,c1ccccc1
CCC(C(=O)OCCN(CC)CC)c1ccccc1,0,1,11,c1ccccc1
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,0,1,11,c1ccccc1
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0,1,12,c1ccccc1
CNC(=O)Oc1ccccc1OC(C)C,0,1,12,c1ccccc1
CC(=O)CC(=O)Nc1ccccc1,1,0,12,c1ccccc1
CC(=O)Nc1ccc(C(=O)O)cc1,0,1,12,c1ccccc1
COc1ccc(NC(C)=O)cc1N,1,0,11,c1ccccc1
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)cc1,0,1,12,c1ccccc1
ICCc1ccccc1,0,0,7,c1ccccc1
O=[N+]([O-])c1cccc(I)c1,0,1,12,c1ccccc1
COc1ccc(NC(=O)CC(C)=O)cc1,0,1,10,c1ccccc1
Clc1cc(Cl)c(OCC#CI)cc1Cl,0,0,5,c1ccccc1
NC(=S)NS(=O)(=O)c1ccc(N)cc1,0,0,9,c1ccccc1
COC(=O)/C=C/c1ccccc1,0,1,10,c1ccccc1
CON(C)C(=O)Nc1ccc(Br)cc1,1,0,10,c1ccccc1
CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)[O-])c1I,0,0,9,c1ccccc1
Nc1c(Cl)cc(Cl)cc1Cl,0,1,11,c1ccccc1
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,0,10,c1ccccc1
Nc1cc(Cl)ccc1O,1,0,10,c1ccccc1
Nc1cc(Cl)c([N+](=O)[O-])cc1O,1,0,9,c1ccccc1
CCOc1ccc(NC(C)=O)cc1,0,1,12,c1ccccc1
Nc1cc(Cl)cc(S(=O)(=O)O)c1O,0,1,11,c1ccccc1
O=Cc1ccc(Cl)cc1Cl,0,1,12,c1ccccc1
CCOC(=O)c1cccc(N)c1,0,0,9,c1ccccc1
COc1ccc(OC)c(NC(=O)CC(C)=O)c1,1,0,11,c1ccccc1
N#Cc1ccc(Cl)cc1,0,1,12,c1ccccc1
COC(=O)c1ccccc1Cl,0,1,12,c1ccccc1
O=S(=O)([O-])c1cc(O)c(O)c(S(=O)(=O)[O-])c1,0,1,10,c1ccccc1
NC(=O)c1ccc(N)cc1,0,0,9,c1ccccc1
NNC(=O)c1cccc(C(=O)NN)c1,1,0,11,c1ccccc1
O=[N+]([O-])C=Cc1ccccc1,1,0,7,c1ccccc1
COP(=O)(OC)O/C(=C\Cl)c1cc(Cl)c(Cl)cc1Cl,1,0,7,c1ccccc1
N#CSCc1ccccc1,1,0,10,c1ccccc1
O=S(=O)(O)c1cc(Cl)c(Cl)cc1Cl,0,1,11,c1ccccc1
CNC.O=C(O)COc1ccc(Cl)cc1Cl,0,1,12,c1ccccc1
Cc1ccc(C(C)(C)O)cc1,0,1,12,c1ccccc1
CNC[C@H](O)c1ccc(O)c(O)c1,0,1,11,c1ccccc1
CC(C)N(C(=O)CCl)c1ccccc1,1,0,6,c1ccccc1
N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,1,0,9,c1ccccc1
C=CCc1cc(OC)c(O)c(C(=O)NCCO)c1,1,0,12,c1ccccc1
CCOC(=O)c1ccccc1OC,0,1,11,c1ccccc1
Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-],1,0,11,c1ccccc1
CC(C)C(=O)Nc1cccc(C(F)(F)F)c1,0,0,2,c1ccccc1
O=C(Nc1cccc(Cl)c1)OCC#CCCl,1,0,7,c1ccccc1
Oc1ccccc1F,0,1,12,c1ccccc1
CN(C)c1ccc(N(C)C)cc1,1,0,9,c1ccccc1
CCOc1ccccc1N,1,0,12,c1ccccc1
N=C(N)NN=Cc1c(Cl)cccc1Cl,0,0,2,c1ccccc1
